City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,76.96,scattered clouds,-9.8,-139.0333,Villa Enata
3,Butaritari,KI,82.36,broken clouds,3.0707,172.7902,Isles Sunset Lodge
5,Rikitea,PF,75.33,scattered clouds,-23.1203,-134.9692,People ThankYou
10,Labuhan,ID,79.43,overcast clouds,-6.8844,112.2051,DoubleFAG
19,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
21,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
25,Hasaki,JP,82.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
37,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
38,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
39,Lazurne,UA,76.93,light rain,46.084,32.5295,New Manna Hostel
40,Acarau,BR,79.21,scattered clouds,-2.8856,-40.12,castelo pizzaria
47,Vega De Alatorre,MX,77.04,broken clouds,20.0333,-96.6333,Hotel D Luxe
56,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
60,Buala,SB,80.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
62,Samarai,PG,79.09,broken clouds,-10.6167,150.6667,Nuli Sapi
66,Lorengau,PG,82.35,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
71,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
76,Hithadhoo,MV,82.67,few clouds,-0.6,73.0833,Scoop Guest House
85,Puerto Escondido,MX,76.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
88,Maizuru,JP,77.31,broken clouds,35.45,135.3333,Maizuru Grand Hotel
91,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
96,Acajutla,SV,76.44,overcast clouds,13.5928,-89.8275,Laureles
104,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,Samfya,ZM,79.86,clear sky,-11.3649,29.5565,Chita Lodge Samfya
118,Kavieng,PG,81.84,light rain,-2.5744,150.7967,Nusa Island Retreat
123,Pecos,US,83.23,broken clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
127,Yenagoa,NG,76.73,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
128,Omboue,GA,78.35,overcast clouds,-1.5746,9.2618,Hotel Olako
131,Isangel,VU,77.0,overcast clouds,-19.55,169.2667,Tanna Lodge
134,Mokrousovo,RU,82.08,few clouds,55.8103,66.7653,Tserkov'
141,Brownsville,US,81.91,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
144,Bethel,US,79.86,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
147,Lasa,IT,84.36,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
148,Sola,VU,80.37,few clouds,-13.8833,167.55,Leumerus Bungalows
159,Les Cayes,HT,79.41,overcast clouds,18.2,-73.75,Villa Orphee
160,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
166,Dhidhdhoo,MV,81.66,scattered clouds,6.8833,73.1,Dhidhoo beach
167,Havelock,US,82.38,clear sky,34.8791,-76.9013,Sherwood Motel
168,Vimperk,CZ,84.34,clear sky,49.0586,13.7829,Hotel Zlatá Hvězda
169,Samur,RU,81.43,few clouds,41.8253,48.486,Samur
172,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
175,Wanning,CN,83.75,few clouds,18.8003,110.3967,Paradise Hotel
182,Buchanan,LR,79.45,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
184,Toyooka,JP,76.77,light rain,35.5333,134.8333,O Hotel Toyooka
189,Ayame,CI,82.47,broken clouds,5.6083,-3.1563,Hotel Bossan
191,Dwarka,IN,83.59,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
194,Gidam,IN,81.37,overcast clouds,18.9833,81.4,सागर
195,Majene,ID,80.06,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
196,Port Blair,IN,83.16,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
199,Barcelos,PT,79.68,few clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
200,Aviles,ES,75.38,clear sky,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
202,Hamilton,US,76.44,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
203,High Rock,BS,77.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
206,Lubao,PH,82.47,broken clouds,14.9167,120.55,Hacienda Gracia
207,Praia Da Vitoria,PT,77.25,broken clouds,38.7333,-27.0667,Hotel Branco I
208,Meulaboh,ID,76.5,light rain,4.1363,96.1285,Kost Pria
212,Katsuura,JP,79.63,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
215,San Patricio,US,82.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
220,Banga,PH,76.84,overcast clouds,6.4239,124.7783,Fortune Field Resort
222,Faya,SA,77.11,moderate rain,18.3851,42.4509,املاك خالد الشعشوع
227,Progreso,MX,76.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
233,Luganville,VU,78.06,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
237,Sao Filipe,CV,78.39,light rain,14.8961,-24.4956,Hotel Xaguate
243,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
244,Kualakapuas,ID,78.62,overcast clouds,-3.0091,114.3876,Guest House Izonk
246,Manado,ID,84.97,broken clouds,1.487,124.8455,Aryaduta Hotel
253,Khatanga,RU,77.0,overcast clouds,71.9667,102.5,"""Khatanga"""
261,Huilong,CN,79.36,few clouds,31.8111,121.655,Hilton Garden Inn Qidong
264,Salawagan,PH,75.02,overcast clouds,7.7053,125.115,Violeta B. Cardona
269,Dnipryany,UA,83.55,light rain,46.7463,33.2729,Fishing farm
276,Cabo San Lucas,MX,79.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
283,Dingle,PH,77.68,light rain,10.9995,122.6711,SEGAYA PROPERTY
288,Big Spring,US,80.24,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
289,Svetlyy,RU,75.25,scattered clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
291,Hobyo,SO,82.08,clear sky,5.3505,48.5268,Iftin hotel hobyo
295,Faanui,PF,76.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
300,Lazaro Cardenas,MX,76.05,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
304,Manokwari,ID,79.57,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
307,Honiara,SB,78.37,scattered clouds,-9.4333,159.95,Heritage Park Hotel
308,Vieques,PR,80.62,haze,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
309,Saint-Pierre,RE,75.9,broken clouds,-21.3393,55.4781,Alize Plage
311,Kuito,AO,77.25,scattered clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
317,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
324,Asau,RO,83.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
329,Harrison,US,76.05,scattered clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
334,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
339,Tautira,PF,76.91,moderate rain,-17.7333,-149.15,Pension Oaoa
340,Taganak,PH,84.34,overcast clouds,6.0833,118.3,Taganak
341,Nyimba,ZM,84.09,few clouds,-14.5566,30.8149,Dali Dali Lodge
344,Koungou,YT,82.11,clear sky,-12.7336,45.2042,Villa Netibor
348,Harper,LR,77.14,overcast clouds,4.375,-7.7169,Screensaver
352,Akhalgori,GE,79.99,few clouds,42.126,44.4833,Гостиница
353,Nizhniy Baskunchak,RU,82.78,scattered clouds,48.2198,46.8311,Arman hotel
354,Tura,IN,77.59,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
359,Kita,ML,83.93,light rain,13.0349,-9.4895,Hôtel Chat Rouge
365,Tumsar,IN,77.13,moderate rain,21.3833,79.7333,Shiyaswar house
366,Sibu,MY,75.51,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
370,Markova,UA,78.15,few clouds,48.6758,24.4138,Vas.VOM
375,Betul,IN,76.6,overcast clouds,21.9153,77.8961,STARiHotel Betul MP
379,Pingzhuang,CN,80.73,overcast clouds,42.0372,119.2889,Haoke Guest House
380,Marbella,ES,83.62,few clouds,36.5154,-4.8858,El Fuerte Marbella
383,The Valley,AI,83.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
390,Thanatpin,MM,82.58,scattered clouds,17.2119,96.3033,Lo Ta Ya Garden
391,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
394,Palmer,US,80.24,overcast clouds,42.1584,-72.3287,Wedgewood Motel
397,Vanimo,PG,79.61,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
398,Parys,FR,79.38,overcast clouds,48.8534,2.3488,Britannique Hotel - Paris Centre
400,Puerto Lempira,HN,75.96,scattered clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
405,Dong Hoi,VN,84.42,broken clouds,17.4833,106.6,Nam Long Hotel
407,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
410,Kavaratti,IN,81.9,overcast clouds,10.5669,72.642,Green leaf
411,Gouyave,GD,75.97,few clouds,12.1646,-61.7296,Rumboat Retreat
412,Acapulco,MX,76.33,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
413,Galveston,US,83.97,few clouds,29.3669,-94.9669,Crystal Suites
415,Mitsamiouli,KM,82.69,scattered clouds,-11.3847,43.2844,Foyer ADM
419,Pangkalanbuun,ID,78.62,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
421,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
425,Kovernino,RU,82.08,scattered clouds,57.1253,43.8142,Welcome
431,Maragogi,BR,75.74,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
435,Dongdu,CN,79.41,clear sky,35.85,117.7,Dushi 118 Hotel
