City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Karuzi,BI,2022-07-22 12:33:08,-3.125,30.1333,79.21,31,71,7.34
1,Bandarbeyla,SO,2022-07-22 12:33:09,9.4942,50.8122,80.28,71,100,32.21
2,Rikitea,PF,2022-07-22 12:32:47,-23.1203,-134.9692,72.3,80,100,8.14
3,New Norfolk,AU,2022-07-22 12:33:09,-42.7826,147.0587,49.5,97,100,2.95
4,Celles,BE,2022-07-22 12:33:10,50.7123,3.4573,72.99,59,100,1.99
5,Nanortalik,GL,2022-07-22 12:33:10,60.1432,-45.2371,48.22,79,22,4.56
6,Hasaki,JP,2022-07-22 12:33:11,35.7333,140.8333,81.28,91,52,19.75
7,Inta,RU,2022-07-22 12:33:11,66.0317,60.1659,51.26,64,100,7.07
8,Baijiantan,CN,2022-07-22 12:33:11,45.6333,85.1833,102.15,12,46,15.64
9,Touros,BR,2022-07-22 12:28:53,-5.1989,-35.4608,79.79,74,76,11.68
10,Albany,US,2022-07-22 12:31:23,42.6001,-73.9662,78.31,72,0,2.89
11,Banda Aceh,ID,2022-07-22 12:33:12,5.5577,95.3222,80.06,83,100,6.89
12,Mataura,NZ,2022-07-22 12:33:13,-46.1927,168.8643,38.48,98,12,2.44
13,Bengkulu,ID,2022-07-22 12:33:13,-3.8004,102.2655,78.94,86,100,7.83
14,Tasiilaq,GL,2022-07-22 12:33:14,65.6145,-37.6368,39.36,79,77,1.39
15,Hilo,US,2022-07-22 12:31:03,19.7297,-155.09,72.28,91,100,3.0
16,Tuktoyaktuk,CA,2022-07-22 12:33:14,69.4541,-133.0374,51.67,81,97,7.7
17,Butaritari,KI,2022-07-22 12:33:15,3.0707,172.7902,80.71,79,81,9.01
18,Vaini,TO,2022-07-22 12:33:15,-21.2,-175.2,69.96,94,20,5.75
19,Concordia,AR,2022-07-22 12:30:02,-31.393,-58.0209,59.07,94,100,4.0
20,Cherskiy,RU,2022-07-22 12:33:13,68.75,161.3,32.2,95,32,9.57
21,Yellowknife,CA,2022-07-22 12:30:51,62.456,-114.3525,57.72,82,75,2.3
22,Ponta Do Sol,PT,2022-07-22 12:33:16,32.6667,-17.1,80.71,68,0,3.62
23,Cap Estate,LC,2022-07-22 12:33:17,14.0833,-60.95,82.02,74,57,17.69
24,Torbay,CA,2022-07-22 12:33:17,47.6666,-52.7314,72.88,72,40,5.75
25,Nabire,ID,2022-07-22 12:30:18,-3.3667,135.4833,76.12,90,94,2.93
26,Wladyslawowo,PL,2022-07-22 12:33:18,54.7909,18.4009,80.15,82,61,10.6
27,Ribeira Grande,PT,2022-07-22 12:28:48,38.5167,-28.7,75.6,88,40,8.05
28,Nishihara,JP,2022-07-22 12:33:19,26.1842,127.7558,85.68,81,75,13.8
29,Port Elizabeth,ZA,2022-07-22 12:33:19,-33.918,25.5701,73.31,44,0,4.61
30,Saint-Philippe,RE,2022-07-22 12:33:20,-21.3585,55.7679,74.79,75,24,11.74
31,Atuona,PF,2022-07-22 12:33:20,-9.8,-139.0333,76.66,73,0,14.52
32,Kiama,AU,2022-07-22 12:33:20,-34.6833,150.8667,60.01,91,69,9.98
33,Flin Flon,CA,2022-07-22 12:33:21,54.7682,-101.865,53.44,94,100,9.22
34,Cape Town,ZA,2022-07-22 12:28:33,-33.9258,18.4232,65.37,66,40,14.97
35,Saint-Joseph,RE,2022-07-22 12:33:22,-21.3667,55.6167,73.78,72,29,12.19
36,Hermanus,ZA,2022-07-22 12:33:22,-34.4187,19.2345,61.81,58,61,15.88
37,Port Lincoln,AU,2022-07-22 12:30:51,-34.7333,135.8667,53.01,66,88,7.25
38,Pevek,RU,2022-07-22 12:33:23,69.7008,170.3133,31.42,92,100,3.02
39,Yueyang,CN,2022-07-22 12:33:23,29.3333,113.0919,86.14,70,32,10.38
40,Los Llanos De Aridane,ES,2022-07-22 12:33:23,28.6585,-17.9182,77.13,76,20,19.57
41,Bluff,NZ,2022-07-22 12:33:24,-46.6,168.3333,38.8,81,100,8.3
42,Sao Filipe,CV,2022-07-22 12:33:24,14.8961,-24.4956,75.58,81,60,7.54
43,Asyut,EG,2022-07-22 12:34:25,27.181,31.1837,96.98,15,4,18.19
44,Abalak,RU,2022-07-22 12:34:25,58.1286,68.5944,65.03,72,10,10.22
45,Otane,NZ,2022-07-22 12:34:25,-39.8833,176.6333,42.01,86,100,4.23
46,Jaru,BR,2022-07-22 12:34:26,-10.4389,-62.4664,83.35,43,0,2.42
47,Zhangye,CN,2022-07-22 12:34:26,38.9342,100.4517,78.57,22,11,5.61
48,Corinto,GR,2022-07-22 12:34:26,37.9407,22.9573,96.89,22,0,5.17
